"升级所需物品
 [物品ID，数量]"
upgradeNeedItem
JSONArray
CS
[[2022,10],[1002,3000]]
[[2022,10],[1002,3500]]
[[2022,10],[1002,4000]]
[[2022,10],[1002,4500]]
[[2022,10],[1002,5000]]
[[2022,20],[1002,5500]]
[[2022,20],[1002,6000]]
[[2022,20],[1002,6500]]
[[2022,20],[1002,7000]]
[[2022,20],[1002,7500]]
[[2022,20],[1002,8000]]
[[2022,20],[1002,8500]]
[[2022,20],[1002,9000]]
[[2022,20],[1002,9500]]
[[2022,20],[1002,10000]]
[[2022,30],[1002,10500]]
[[2022,30],[1002,11000]]
[[2022,30],[1002,11500]]
[[2022,30],[1002,12000]]
[[2022,30],[1002,12500]]
[[2022,30],[1002,13000]]
[[2022,30],[1002,13500]]
[[2022,30],[1002,14000]]
[[2022,30],[1002,14500]]
[[2022,30],[1002,15000]]
[[2022,30],[1002,15500]]
[[2022,30],[1002,16000]]
[[2022,30],[1002,16500]]
[[2022,30],[1002,17000]]
[[2022,30],[1002,17500]]
[[2022,30],[1002,18000]]
[[2022,30],[1002,18500]]
[[2022,30],[1002,19000]]
[[2022,30],[1002,19500]]
[]
[[2020,10],[1002,500]]
[[2020,10],[1002,1000]]
[[2020,10],[1002,1500]]
[[2020,10],[1002,2000]]
[[2020,10],[1002,2500]]
[[2020,10],[1002,3000]]
[[2020,10],[1002,3500]]
[[2020,10],[1002,4000]]
[[2020,10],[1002,4500]]
[[2020,10],[1002,5000]]
[[2020,20],[1002,5500]]
[[2020,20],[1002,6000]]
[[2020,20],[1002,6500]]
[[2020,20],[1002,7000]]
[[2020,20],[1002,7500]]
[[2020,20],[1002,8000]]
[[2020,20],[1002,8500]]
[[2020,20],[1002,9000]]
[[2020,20],[1002,9500]]
[[2020,20],[1002,10000]]
[[2020,30],[1002,10500]]
[[2020,30],[1002,11000]]
[[2020,30],[1002,11500]]
[[2020,30],[1002,12000]]
[[2020,30],[1002,12500]]
[[2020,30],[1002,13000]]
[[2020,30],[1002,13500]]
[[2020,30],[1002,14000]]
[[2020,30],[1002,14500]]
[[2020,30],[1002,15000]]
[[2020,30],[1002,15500]]
[[2020,30],[1002,16000]]
[[2020,30],[1002,16500]]
[[2020,30],[1002,17000]]
[[2020,30],[1002,17500]]
[[2020,30],[1002,18000]]
[[2020,30],[1002,18500]]
[[2020,30],[1002,19000]]
[[2020,30],[1002,19500]]
[]
[[2023,10],[1002,500]]
[[2023,10],[1002,1000]]
[[2023,10],[1002,1500]]
[[2023,10],[1002,2000]]
[[2023,10],[1002,2500]]
[[2023,10],[1002,3000]]
[[2023,10],[1002,3500]]
[[2023,10],[1002,4000]]
[[2023,10],[1002,4500]]
[[2023,10],[1002,5000]]
[[2023,20],[1002,5500]]
[[2023,20],[1002,6000]]
[[2023,20],[1002,6500]]
[[2023,20],[1002,7000]]
[[2023,20],[1002,7500]]
[[2023,20],[1002,8000]]
[[2023,20],[1002,8500]]
[[2023,20],[1002,9000]]
[[2023,20],[1002,9500]]
[[2023,20],[1002,10000]]
[[2023,30],[1002,10500]]
[[2023,30],[1002,11000]]
[[2023,30],[1002,11500]]
[[2023,30],[1002,12000]]
[[2023,30],[1002,12500]]
[[2023,30],[1002,13000]]
[[2023,30],[1002,13500]]
[[2023,30],[1002,14000]]
[[2023,30],[1002,14500]]
[[2023,30],[1002,15000]]
[[2023,30],[1002,15500]]
[[2023,30],[1002,16000]]
[[2023,30],[1002,16500]]
[[2023,30],[1002,17000]]
[[2023,30],[1002,17500]]
[[2023,30],[1002,18000]]
[[2023,30],[1002,18500]]
[[2023,30],[1002,19000]]
[[2023,30],[1002,19500]]
[]
[[2022,10],[1002,500]]
[[2022,10],[1002,1000]]
[[2022,10],[1002,1500]]
[[2022,10],[1002,2000]]
[[2022,10],[1002,2500]]
[[2022,10],[1002,3000]]
[[2022,10],[1002,3500]]
[[2022,10],[1002,4000]]
[[2022,10],[1002,4500]]
[[2022,10],[1002,5000]]
[[2022,20],[1002,5500]]
[[2022,20],[1002,6000]]
[[2022,20],[1002,6500]]
[[2022,20],[1002,7000]]
[[2022,20],[1002,7500]]
[[2022,20],[1002,8000]]
[[2022,20],[1002,8500]]
[[2022,20],[1002,9000]]
[[2022,20],[1002,9500]]
[[2022,20],[1002,10000]]
[[2022,30],[1002,10500]]
[[2022,30],[1002,11000]]
[[2022,30],[1002,11500]]
[[2022,30],[1002,12000]]
[[2022,30],[1002,12500]]
[[2022,30],[1002,13000]]
[[2022,30],[1002,13500]]
[[2022,30],[1002,14000]]
[[2022,30],[1002,14500]]
[[2022,30],[1002,15000]]
[[2022,30],[1002,15500]]
[[2022,30],[1002,16000]]
[[2022,30],[1002,16500]]
[[2022,30],[1002,17000]]
[[2022,30],[1002,17500]]
[[2022,30],[1002,18000]]
[[2022,30],[1002,18500]]
[[2022,30],[1002,19000]]
[[2022,30],[1002,19500]]
[]
[[2021,10],[1002,500]]
[[2021,10],[1002,1000]]
[[2021,10],[1002,1500]]
[[2021,10],[1002,2000]]
[[2021,10],[1002,2500]]
[[2021,10],[1002,3000]]
[[2021,10],[1002,3500]]
[[2021,10],[1002,4000]]
[[2021,10],[1002,4500]]
[[2021,10],[1002,5000]]
[[2021,20],[1002,5500]]
[[2021,20],[1002,6000]]
[[2021,20],[1002,6500]]
[[2021,20],[1002,7000]]
[[2021,20],[1002,7500]]
[[2021,20],[1002,8000]]
[[2021,20],[1002,8500]]
[[2021,20],[1002,9000]]
[[2021,20],[1002,9500]]
[[2021,20],[1002,10000]]
[[2021,30],[1002,10500]]
[[2021,30],[1002,11000]]
[[2021,30],[1002,11500]]
[[2021,30],[1002,12000]]
[[2021,30],[1002,12500]]
[[2021,30],[1002,13000]]
[[2021,30],[1002,13500]]
[[2021,30],[1002,14000]]
[[2021,30],[1002,14500]]
[[2021,30],[1002,15000]]
[[2021,30],[1002,15500]]
[[2021,30],[1002,16000]]
[[2021,30],[1002,16500]]
[[2021,30],[1002,17000]]
[[2021,30],[1002,17500]]
[[2021,30],[1002,18000]]
[[2021,30],[1002,18500]]
[[2021,30],[1002,19000]]
[[2021,30],[1002,19500]]
[]
[[2020,10],[1002,500]]
[[2020,10],[1002,1000]]
[[2020,10],[1002,1500]]
[[2020,10],[1002,2000]]
[[2020,10],[1002,2500]]
[[2020,10],[1002,3000]]
[[2020,10],[1002,3500]]
[[2020,10],[1002,4000]]
[[2020,10],[1002,4500]]
[[2020,10],[1002,5000]]
[[2020,20],[1002,5500]]
[[2020,20],[1002,6000]]
[[2020,20],[1002,6500]]
[[2020,20],[1002,7000]]
[[2020,20],[1002,7500]]
[[2020,20],[1002,8000]]
[[2020,20],[1002,8500]]
[[2020,20],[1002,9000]]
[[2020,20],[1002,9500]]
[[2020,20],[1002,10000]]
[[2020,30],[1002,10500]]
[[2020,30],[1002,11000]]
[[2020,30],[1002,11500]]
[[2020,30],[1002,12000]]
[[2020,30],[1002,12500]]
[[2020,30],[1002,13000]]
[[2020,30],[1002,13500]]
[[2020,30],[1002,14000]]
[[2020,30],[1002,14500]]
[[2020,30],[1002,15000]]
[[2020,30],[1002,15500]]
[[2020,30],[1002,16000]]
[[2020,30],[1002,16500]]
[[2020,30],[1002,17000]]
[[2020,30],[1002,17500]]
[[2020,30],[1002,18000]]
[[2020,30],[1002,18500]]
[[2020,30],[1002,19000]]
[[2020,30],[1002,19500]]
[]
[[2020,10],[1002,500]]
[[2020,10],[1002,1000]]
[[2020,10],[1002,1500]]
[[2020,10],[1002,2000]]
[[2020,10],[1002,2500]]
[[2020,10],[1002,3000]]
[[2020,10],[1002,3500]]
[[2020,10],[1002,4000]]
[[2020,10],[1002,4500]]
[[2020,10],[1002,5000]]
[[2020,20],[1002,5500]]
[[2020,20],[1002,6000]]
[[2020,20],[1002,6500]]
[[2020,20],[1002,7000]]
[[2020,20],[1002,7500]]
[[2020,20],[1002,8000]]
[[2020,20],[1002,8500]]
[[2020,20],[1002,9000]]
[[2020,20],[1002,9500]]
[[2020,20],[1002,10000]]
[[2020,30],[1002,10500]]
[[2020,30],[1002,11000]]
[[2020,30],[1002,11500]]
[[2020,30],[1002,12000]]
[[2020,30],[1002,12500]]
[[2020,30],[1002,13000]]
[[2020,30],[1002,13500]]
[[2020,30],[1002,14000]]
[[2020,30],[1002,14500]]
[[2020,30],[1002,15000]]
[[2020,30],[1002,15500]]
[[2020,30],[1002,16000]]
[[2020,30],[1002,16500]]
[[2020,30],[1002,17000]]
[[2020,30],[1002,17500]]
[[2020,30],[1002,18000]]
[[2020,30],[1002,18500]]
[[2020,30],[1002,19000]]
[[2020,30],[1002,19500]]
[]
[[2023,30],[1002,1000]]
[[2023,30],[1002,2000]]
[[2023,30],[1002,3000]]
[[2023,30],[1002,4000]]
[[2023,30],[1002,5000]]
[[2023,30],[1002,6000]]
[[2023,30],[1002,7000]]
[[2023,30],[1002,8000]]
[[2023,30],[1002,9000]]
[[2023,30],[1002,10000]]
[[2023,40],[1002,11000]]
[[2023,40],[1002,12000]]
[[2023,40],[1002,13000]]
[[2023,40],[1002,14000]]
[[2023,40],[1002,15000]]
[[2023,40],[1002,16000]]
[[2023,40],[1002,17000]]
[[2023,40],[1002,18000]]
[[2023,40],[1002,19000]]
[[2023,40],[1002,20000]]
[[2023,50],[1002,21000]]
[[2023,50],[1002,22000]]
[[2023,50],[1002,23000]]
[[2023,50],[1002,24000]]
[[2023,50],[1002,25000]]
[[2023,50],[1002,26000]]
[[2023,50],[1002,27000]]
[[2023,50],[1002,28000]]
[[2023,50],[1002,29000]]
[[2023,50],[1002,30000]]
[[2023,60],[1002,31000]]
[[2023,60],[1002,32000]]
[[2023,60],[1002,33000]]
[[2023,60],[1002,34000]]
[[2023,60],[1002,35000]]
[[2023,60],[1002,36000]]
[[2023,60],[1002,37000]]
[[2023,60],[1002,38000]]
[[2023,60],[1002,39000]]
[[2023,60],[1002,40000]]
[[2023,80],[1002,41000]]
[[2023,80],[1002,42000]]
[[2023,80],[1002,43000]]
[[2023,80],[1002,44000]]
[[2023,80],[1002,45000]]
[[2023,80],[1002,46000]]
[[2023,80],[1002,47000]]
[[2023,80],[1002,48000]]
[[2023,80],[1002,49000]]
[]
[[2020,30],[1002,1000]]
[[2020,30],[1002,2000]]
[[2020,30],[1002,3000]]
[[2020,30],[1002,4000]]
[[2020,30],[1002,5000]]
[[2020,30],[1002,6000]]
[[2020,30],[1002,7000]]
[[2020,30],[1002,8000]]
[[2020,30],[1002,9000]]
[[2020,30],[1002,10000]]
[[2020,40],[1002,11000]]
[[2020,40],[1002,12000]]
[[2020,40],[1002,13000]]
[[2020,40],[1002,14000]]
[[2020,40],[1002,15000]]
[[2020,40],[1002,16000]]
[[2020,40],[1002,17000]]
[[2020,40],[1002,18000]]
[[2020,40],[1002,19000]]
[[2020,40],[1002,20000]]
[[2020,50],[1002,21000]]
[[2020,50],[1002,22000]]
[[2020,50],[1002,23000]]
[[2020,50],[1002,24000]]
[[2020,50],[1002,25000]]
[[2020,50],[1002,26000]]
[[2020,50],[1002,27000]]
[[2020,50],[1002,28000]]
[[2020,50],[1002,29000]]
[[2020,50],[1002,30000]]
[[2020,60],[1002,31000]]
[[2020,60],[1002,32000]]
[[2020,60],[1002,33000]]
[[2020,60],[1002,34000]]
[[2020,60],[1002,35000]]
[[2020,60],[1002,36000]]
[[2020,60],[1002,37000]]
[[2020,60],[1002,38000]]
[[2020,60],[1002,39000]]
[[2020,60],[1002,40000]]
[[2020,80],[1002,41000]]
[[2020,80],[1002,42000]]
[[2020,80],[1002,43000]]
[[2020,80],[1002,44000]]
[[2020,80],[1002,45000]]
[[2020,80],[1002,46000]]
[[2020,80],[1002,47000]]
[[2020,80],[1002,48000]]
[[2020,80],[1002,49000]]
[]
[[2021,30],[1002,1000]]
[[2021,30],[1002,2000]]
[[2021,30],[1002,3000]]
[[2021,30],[1002,4000]]
[[2021,30],[1002,5000]]
[[2021,30],[1002,6000]]
[[2021,30],[1002,7000]]
[[2021,30],[1002,8000]]
[[2021,30],[1002,9000]]
[[2021,30],[1002,10000]]
[[2021,40],[1002,11000]]
[[2021,40],[1002,12000]]
[[2021,40],[1002,13000]]
[[2021,40],[1002,14000]]
[[2021,40],[1002,15000]]
[[2021,40],[1002,16000]]
[[2021,40],[1002,17000]]
[[2021,40],[1002,18000]]
[[2021,40],[1002,19000]]
[[2021,40],[1002,20000]]
[[2021,50],[1002,21000]]
[[2021,50],[1002,22000]]
[[2021,50],[1002,23000]]
[[2021,50],[1002,24000]]
[[2021,50],[1002,25000]]
[[2021,50],[1002,26000]]
[[2021,50],[1002,27000]]
[[2021,50],[1002,28000]]
[[2021,50],[1002,29000]]
[[2021,50],[1002,30000]]
[[2021,60],[1002,31000]]
[[2021,60],[1002,32000]]
[[2021,60],[1002,33000]]
[[2021,60],[1002,34000]]
[[2021,60],[1002,35000]]
[[2021,60],[1002,36000]]
[[2021,60],[1002,37000]]
[[2021,60],[1002,38000]]
[[2021,60],[1002,39000]]
[[2021,60],[1002,40000]]
[[2021,80],[1002,41000]]
[[2021,80],[1002,42000]]
[[2021,80],[1002,43000]]
[[2021,80],[1002,44000]]
[[2021,80],[1002,45000]]
[[2021,80],[1002,46000]]
[[2021,80],[1002,47000]]
[[2021,80],[1002,48000]]
[[2021,80],[1002,49000]]
[]
[[2022,40],[1002,1000]]
[[2022,40],[1002,2000]]
[[2022,40],[1002,3000]]
[[2022,40],[1002,4000]]
[[2022,40],[1002,5000]]
[[2022,40],[1002,6000]]
[[2022,40],[1002,7000]]
[[2022,40],[1002,8000]]
[[2022,40],[1002,9000]]
[[2022,40],[1002,10000]]
[[2022,50],[1002,11000]]
[[2022,50],[1002,12000]]
[[2022,50],[1002,13000]]
[[2022,50],[1002,14000]]
[[2022,50],[1002,15000]]
[[2022,50],[1002,16000]]
[[2022,50],[1002,17000]]
[[2022,50],[1002,18000]]
[[2022,50],[1002,19000]]
[[2022,50],[1002,20000]]
[[2022,60],[1002,21000]]
[[2022,60],[1002,22000]]
[[2022,60],[1002,23000]]
[[2022,60],[1002,24000]]
[[2022,60],[1002,25000]]
[[2022,60],[1002,26000]]
[[2022,60],[1002,27000]]
[[2022,60],[1002,28000]]
[[2022,60],[1002,29000]]
[[2022,60],[1002,30000]]
[[2022,80],[1002,31000]]
[[2022,80],[1002,32000]]
[[2022,80],[1002,33000]]
[[2022,80],[1002,34000]]
[[2022,80],[1002,23000]]
[[2022,80],[1002,36000]]
[[2022,80],[1002,37000]]
[[2022,80],[1002,38000]]
[[2022,80],[1002,39000]]
[[2022,80],[1002,40000]]
[[2022,100],[1002,41000]]
[[2022,100],[1002,42000]]
[[2022,100],[1002,43000]]
[[2022,100],[1002,44000]]
[[2022,100],[1002,45000]]
[[2022,100],[1002,46000]]
[[2022,100],[1002,47000]]
[[2022,100],[1002,48000]]
[[2022,100],[1002,49000]]
[]
[[2020,40],[1002,1000]]
[[2020,40],[1002,2000]]
[[2020,40],[1002,3000]]
[[2020,40],[1002,4000]]
[[2020,40],[1002,5000]]
[[2020,40],[1002,6000]]
[[2020,40],[1002,7000]]
[[2020,40],[1002,8000]]
[[2020,40],[1002,9000]]
[[2020,40],[1002,10000]]
[[2020,50],[1002,11000]]
[[2020,50],[1002,12000]]
[[2020,50],[1002,13000]]
[[2020,50],[1002,14000]]
[[2020,50],[1002,15000]]
[[2020,50],[1002,16000]]
[[2020,50],[1002,17000]]
[[2020,50],[1002,18000]]
[[2020,50],[1002,19000]]
[[2020,50],[1002,20000]]
[[2020,60],[1002,21000]]
[[2020,60],[1002,22000]]
[[2020,60],[1002,23000]]
[[2020,60],[1002,24000]]
[[2020,60],[1002,25000]]
[[2020,60],[1002,26000]]
[[2020,60],[1002,27000]]
[[2020,60],[1002,28000]]
[[2020,60],[1002,29000]]
[[2020,60],[1002,30000]]
[[2020,80],[1002,31000]]
[[2020,80],[1002,32000]]
[[2020,80],[1002,33000]]
[[2020,80],[1002,34000]]
[[2020,80],[1002,23000]]
[[2020,80],[1002,36000]]
[[2020,80],[1002,37000]]
[[2020,80],[1002,38000]]
[[2020,80],[1002,39000]]
[[2020,80],[1002,40000]]
[[2020,100],[1002,41000]]
[[2020,100],[1002,42000]]
[[2020,100],[1002,43000]]
[[2020,100],[1002,44000]]
[[2020,100],[1002,45000]]
[[2020,100],[1002,46000]]
[[2020,100],[1002,47000]]
[[2020,100],[1002,48000]]
[[2020,100],[1002,49000]]
[]
[[2020,40],[1002,1000]]
[[2020,40],[1002,2000]]
[[2020,40],[1002,3000]]
[[2020,40],[1002,4000]]
[[2020,40],[1002,5000]]
[[2020,40],[1002,6000]]
[[2020,40],[1002,7000]]
[[2020,40],[1002,8000]]
[[2020,40],[1002,9000]]
[[2020,40],[1002,10000]]
[[2020,50],[1002,11000]]
[[2020,50],[1002,12000]]
[[2020,50],[1002,13000]]
[[2020,50],[1002,14000]]
[[2020,50],[1002,15000]]
[[2020,50],[1002,16000]]
[[2020,50],[1002,17000]]
[[2020,50],[1002,18000]]
[[2020,50],[1002,19000]]
[[2020,50],[1002,20000]]
[[2020,60],[1002,21000]]
[[2020,60],[1002,22000]]
[[2020,60],[1002,23000]]
[[2020,60],[1002,24000]]
[[2020,60],[1002,25000]]
[[2020,60],[1002,26000]]
[[2020,60],[1002,27000]]
[[2020,60],[1002,28000]]
[[2020,60],[1002,29000]]
[[2020,60],[1002,30000]]
[[2020,80],[1002,31000]]
[[2020,80],[1002,32000]]
